dataset,num_nodes,num_edges,density,trial,numfolds,alpha,c_nonlocal,accuracy_nonlocal,c_local,accuracy_local
delaunay_n12,4096,12264,0.000730991363525391,6,10,5,0.1,0.243882544861338,0.1,0.207993474714519
delaunay_n12,4096,12264,0.000730991363525391,7,10,5,0.1,0.274877650897227,0.1,0.214518760195759
delaunay_n12,4096,12264,0.000730991363525391,8,10,5,0.1,0.238172920065253,0.1,0.188417618270799
delaunay_n12,4096,12264,0.000730991363525391,9,10,5,0.1,0.272430668841762,0.1,0.219412724306688
delaunay_n12,4096,12264,0.000730991363525391,10,10,5,0.1,0.264274061990212,0.1,0.207993474714519
delaunay_n12,4096,12264,0.000730991363525391,11,10,5,0.1,0.244698205546493,0.1,0.207177814029364
delaunay_n12,4096,12264,0.000730991363525391,12,10,3,0.2,0.217781402936378,0.1,0.216965742251224
delaunay_n12,4096,12264,0.000730991363525391,13,10,5,0.1,0.259380097879282,0.1,0.216965742251224
delaunay_n12,4096,12264,0.000730991363525391,14,10,5,0.1,0.276508972267537,0.1,0.219412724306688
delaunay_n12,4096,12264,0.000730991363525391,15,10,5,0.1,0.250407830342577,0.1,0.195758564437194
3elt,4720,13722,0.00061593292157426,1,10,5,0.3,0.171282798833819,0.1,0.18731778425656
3elt,4720,13722,0.00061593292157426,2,10,5,0.1,0.206268221574344,0.1,0.184402332361516
3elt,4720,13722,0.00061593292157426,3,10,5,0.1,0.198979591836735,0.1,0.18731778425656
3elt,4720,13722,0.00061593292157426,4,10,5,0.1,0.196793002915452,0.1,0.167638483965015
3elt,4720,13722,0.00061593292157426,5,10,5,0.1,0.193877551020408,0.1,0.174927113702624
3elt,4720,13722,0.00061593292157426,6,10,5,0.1,0.217930029154519,0.4,0.175655976676385
3elt,4720,13722,0.00061593292157426,7,10,5,0.1,0.212827988338192,0.1,0.199708454810496
3elt,4720,13722,0.00061593292157426,8,10,5,0.1,0.201895043731778,0.1,0.18731778425656
3elt,4720,13722,0.00061593292157426,9,10,5,0.1,0.206268221574344,0.1,0.173469387755102
3elt,4720,13722,0.00061593292157426,10,10,5,0.1,0.216472303206997,0.1,0.191690962099125
3elt,4720,13722,0.00061593292157426,11,10,5,0.1,0.21064139941691,0.1,0.178571428571429
3elt,4720,13722,0.00061593292157426,12,10,5,0.1,0.200437317784257,0.1,0.181486880466472
3elt,4720,13722,0.00061593292157426,13,10,5,0.1,0.205539358600583,0.1,0.19533527696793
3elt,4720,13722,0.00061593292157426,14,10,5,0.2,0.196793002915452,0.1,0.193148688046647
3elt,4720,13722,0.00061593292157426,15,10,5,0.1,0.211370262390671,0.1,0.196793002915452
EuairComplete,417,2953,0.0169820977750174,1,10,0.1,0.6,0.203389830508475,0.99,0.203389830508475
EuairComplete,417,2953,0.0169820977750174,2,10,0.4,0.6,0.220338983050847,0.99,0.183050847457627
