dataset,num_nodes,num_edges,density,trial,alpha,c_nonlocal,accuracy_nonlocal,c_local,accuracy_local
EuairComplete,417,2953,0.0169820977750174,2,0.7,0.6,0.257627118644068,0.99,0.227118644067797
EuairComplete,417,2953,0.0169820977750174,3,0.3,0.6,0.267796610169492,0.99,0.223728813559322
EuairComplete,417,2953,0.0169820977750174,4,3,0.85,0.213559322033898,0.99,0.186440677966102
EuairComplete,417,2953,0.0169820977750174,5,0.5,0.6,0.23728813559322,0.99,0.206779661016949
EuairComplete,417,2953,0.0169820977750174,6,0.3,0.6,0.213559322033898,0.99,0.196610169491525
EuairComplete,417,2953,0.0169820977750174,7,0.2,0.6,0.213559322033898,0.99,0.183050847457627
EuairComplete,417,2953,0.0169820977750174,8,0.2,0.6,0.254237288135593,0.99,0.233898305084746
EuairComplete,417,2953,0.0169820977750174,9,0.1,0.6,0.271186440677966,0.99,0.203389830508475
EuairComplete,417,2953,0.0169820977750174,10,2,0.85,0.213559322033898,0.99,0.189830508474576
football,115,613,0.046351606805293,1,5,0.1,0.39344262295082,0.3,0.278688524590164
football,115,613,0.046351606805293,2,3,0.3,0.311475409836066,0.1,0.344262295081967
football,115,613,0.046351606805293,3,5,0.3,0.262295081967213,0.1,0.295081967213115
football,115,613,0.046351606805293,4,3,0.2,0.311475409836066,0.1,0.311475409836066
football,115,613,0.046351606805293,5,5,0.1,0.360655737704918,0.1,0.327868852459016
football,115,613,0.046351606805293,6,5,0.2,0.327868852459016,0.3,0.295081967213115
football,115,613,0.046351606805293,7,5,0.1,0.344262295081967,0.1,0.311475409836066
football,115,613,0.046351606805293,8,3,0.3,0.295081967213115,0.4,0.344262295081967
football,115,613,0.046351606805293,9,5,0.1,0.442622950819672,0.1,0.39344262295082
football,115,613,0.046351606805293,10,3,0.3,0.311475409836066,0.1,0.295081967213115
celegans_metabolic,453,2025,0.00986798824612956,1,5,0.7,0.153465346534653,0.7,0.207920792079208
celegans_metabolic,453,2025,0.00986798824612956,2,5,0.6,0.158415841584158,0.85,0.153465346534653
celegans_metabolic,453,2025,0.00986798824612956,3,5,0.6,0.158415841584158,0.6,0.198019801980198
celegans_metabolic,453,2025,0.00986798824612956,4,5,0.5,0.188118811881188,0.6,0.232673267326733
celegans_metabolic,453,2025,0.00986798824612956,5,5,0.5,0.158415841584158,0.9,0.138613861386139
celegans_metabolic,453,2025,0.00986798824612956,6,5,0.7,0.193069306930693,0.85,0.193069306930693
celegans_metabolic,453,2025,0.00986798824612956,7,5,0.6,0.222772277227723,0.7,0.247524752475248
celegans_metabolic,453,2025,0.00986798824612956,8,5,0.4,0.217821782178218,0.6,0.242574257425743
celegans_metabolic,453,2025,0.00986798824612956,9,5,0.6,0.168316831683168,0.6,0.212871287128713
celegans_metabolic,453,2025,0.00986798824612956,10,5,0.7,0.188118811881188,0.85,0.202970297029703
polbooks,105,441,0.04,1,5,0.5,0.0909090909090909,0.6,0.0909090909090909
polbooks,105,441,0.04,2,0.6,0.6,0.204545454545455,0.9,0.227272727272727
polbooks,105,441,0.04,3,5,0.85,0.159090909090909,0.9,0.159090909090909
polbooks,105,441,0.04,4,5,0.6,0.159090909090909,0.6,0.181818181818182
polbooks,105,441,0.04,5,0.4,0.6,0.227272727272727,0.99,0.181818181818182
polbooks,105,441,0.04,6,5,0.7,0.181818181818182,0.2,0.181818181818182
polbooks,105,441,0.04,7,5,0.6,0.136363636363636,0.7,0.136363636363636
polbooks,105,441,0.04,8,2,0.85,0.136363636363636,0.4,0.204545454545455
polbooks,105,441,0.04,9,5,0.7,0.181818181818182,0.5,0.136363636363636
polbooks,105,441,0.04,10,1,0.7,0.136363636363636,0.99,0.181818181818182
mycielskian9,383,7271,0.0495674522288651,1,5,0.99,0.0261348005502063,0.99,0.0261348005502063
mycielskian9,383,7271,0.0495674522288651,2,5,0.99,0.0288858321870702,0.99,0.0288858321870702
mycielskian9,383,7271,0.0495674522288651,3,5,0.99,0.0343878954607978,0.99,0.0343878954607978
mycielskian9,383,7271,0.0495674522288651,4,5,0.99,0.0261348005502063,0.99,0.0261348005502063
mycielskian9,383,7271,0.0495674522288651,5,5,0.99,0.0275103163686382,0.99,0.0288858321870702
mycielskian9,383,7271,0.0495674522288651,6,5,0.99,0.0275103163686382,0.99,0.0275103163686382
